1,0,0.0
2,0,0.0
3,100,0.04,0.16,2.03,0.0,0.01,3.1
4,100,0.04,0.16,2.03,0.0,0.01,3.1
5,100,0.04,0.16,2.03,0.0,0.01,3.1
6,100,0.04,0.16,2.03,0.0,0.01,3.1
7,100,0.04,0.16,2.03,0.0,0.01,3.1
8,100,0.04,0.16,2.03,0.0,0.01,3.1
9,100,0.04,0.16,2.03,0.0,0.01,3.1
10,100,0.04,0.16,2.03,0.0,0.01,3.1
11,100,0.04,0.16,2.03,0.0,0.01,3.1
12,100,0.04,0.16,2.03,0.0,0.01,3.1
13,100,0.04,0.16,2.03,0.0,0.01,3.1
14,100,0.04,0.16,2.03,0.0,0.01,3.1
15,100,0.04,0.16,2.03,0.0,0.01,3.1
16,100,0.04,0.16,2.03,0.0,0.01,3.1
17,100,0.04,0.16,2.03,0.0,0.01,3.1
18,100,0.04,0.16,2.03,0.0,0.01,3.1
19,100,0.04,0.16,2.03,0.0,0.01,3.1
20,100,0.04,0.16,2.03,0.0,0.01,3.1
21,100,0.04,0.16,2.03,0.0,0.01,3.1
22,100,0.04,0.16,2.03,0.0,0.01,3.1
23,100,0.04,0.16,2.03,0.0,0.01,3.1
24,100,0.04,0.16,2.03,0.0,0.01,3.1
25,100,0.04,0.16,2.03,0.0,0.01,3.1
26,100,0.04,0.16,2.03,0.0,0.01,3.1
27,100,0.04,0.16,2.03,0.0,0.01,3.1
28,100,0.04,0.16,2.03,0.0,0.01,3.1
29,100,0.04,0.16,2.03,0.0,0.01,3.1
30,100,0.04,0.16,2.03,0.0,0.01,3.1
31,100,0.04,0.16,2.03,0.0,0.01,3.1
32,100,0.04,0.16,2.03,0.0,0.01,3.1
33,100,0.04,0.16,2.03,0.0,0.01,3.1
34,100,0.04,0.16,2.03,0.0,0.01,3.1
35,100,0.04,0.16,2.03,0.0,0.01,3.1
36,100,0.04,0.16,2.03,0.0,0.01,3.1
37,100,0.04,0.16,2.03,0.0,0.01,3.1
38,100,0.04,0.16,2.03,0.0,0.01,3.1
39,100,0.04,0.16,2.03,0.0,0.01,3.1
40,100,0.04,0.16,2.03,0.0,0.01,3.1
41,100,0.04,0.16,2.03,0.0,0.01,3.1
42,100,0.04,0.16,2.03,0.0,0.01,3.1
43,100,0.04,0.16,2.03,0.0,0.01,3.1
44,100,0.04,0.16,2.03,0.0,0.01,3.1
45,100,0.04,0.16,2.03,0.0,0.01,3.1
46,100,0.04,0.16,2.03,0.0,0.01,3.1
47,100,0.04,0.16,2.03,0.0,0.01,3.1
48,100,0.04,0.16,2.03,0.0,0.01,3.1
49,100,0.04,0.16,2.03,0.0,0.01,3.1
50,100,0.04,0.16,2.03,0.0,0.01,3.1
51,100,0.04,0.16,2.03,0.0,0.01,3.1
52,100,0.04,0.16,2.03,0.0,0.01,3.1
53,100,0.04,0.16,2.03,0.0,0.01,3.1
54,100,0.04,0.16,2.03,0.0,0.01,3.1
55,100,0.04,0.16,2.03,0.0,0.01,3.1
56,100,0.04,0.16,2.03,0.0,0.01,3.1
57,100,0.04,0.16,2.03,0.0,0.01,3.1
58,100,0.04,0.16,2.03,0.0,0.01,3.1
59,100,0.04,0.16,2.03,0.0,0.01,3.1
60,100,0.04,0.16,2.03,0.0,0.01,3.1
61,100,0.04,0.16,2.03,0.0,0.01,3.1
62,100,0.04,0.16,2.03,0.0,0.01,3.1
63,100,0.04,0.16,2.03,0.0,0.01,3.1
64,100,0.04,0.16,2.03,0.0,0.01,3.1
65,100,0.04,0.16,2.03,0.0,0.01,3.1
66,100,0.04,0.16,2.03,0.0,0.01,3.1
67,100,0.04,0.16,2.03,0.0,0.01,3.1
68,100,0.04,0.16,2.03,0.0,0.01,3.1
69,100,0.04,0.16,2.03,0.0,0.01,3.1
70,100,0.04,0.16,2.03,0.0,0.01,3.1
71,100,0.04,0.16,2.03,0.0,0.01,3.1
72,100,0.04,0.16,2.03,0.0,0.01,3.1
73,100,0.04,0.16,2.03,0.0,0.01,3.1
74,100,0.04,0.16,2.03,0.0,0.01,3.1
75,100,0.04,0.16,2.03,0.0,0.01,3.1
76,100,0.04,0.16,2.03,0.0,0.01,3.1
77,100,0.04,0.16,2.03,0.0,0.01,3.1
78,100,0.04,0.16,2.03,0.0,0.01,3.1
79,100,0.04,0.16,2.03,0.0,0.01,3.1
80,100,0.04,0.16,2.03,0.0,0.01,3.1
81,100,0.04,0.16,2.03,0.0,0.01,3.1
82,100,0.04,0.16,2.03,0.0,0.01,3.1
83,100,0.04,0.16,2.03,0.0,0.01,3.1
84,100,0.04,0.16,2.03,0.0,0.01,3.1
85,100,0.04,0.16,2.03,0.0,0.01,3.1
86,100,0.04,0.16,2.03,0.0,0.01,3.1
87,100,0.04,0.16,2.03,0.0,0.01,3.1
88,100,0.04,0.16,2.03,0.0,0.01,3.1
89,100,0.04,0.16,2.03,0.0,0.01,3.1
90,100,0.04,0.16,2.03,0.0,0.01,3.1
91,100,0.04,0.16,2.03,0.0,0.01,3.1
92,100,0.04,0.16,2.03,0.0,0.01,3.1
